iso3_o;iso3_d;ln_trade;ln_dist;comlang;col_dep_ever;pop_o;pop_d;ln_gdp_o;ln_gdp_d;gdpcap_o;gdpcap_d;gatt_o;gatt_d;wto_o;wto_d;eu_o;eu_d;rta;entry_cost_o;entry_cost_d;entry_proc_o;entry_proc_d;entry_time_o;entry_time_d;entry_tp_o;entry_tp_d;AD_initations_o;AD_measures_o;AD_initations_d;AD_measures_d
ARG;AUS;5,595831518;9,375970397;0;0;43417,767;23789,337;20,18662907;21,01994469;13,467;56,554;1;1;1;1;0;0;0;9,7;0,7;14;3;25;2,5;39;5,5;6;11;10;10
ARG;AUT;5,121889126;9,378711658;0;0;43417,767;8633,169;20,18662907;19,74766926;13,467;43,665;1;1;1;1;0;1;0;9,7;0,3;14;8;25;22;39;30;6;11;11;10
ARG;BEL;5,660679882;9,334923082;0;0;43417,767;11274,196;20,18662907;19,93578889;13,467;40,357;1;1;1;1;0;1;0;9,7;5;14;3;25;4;39;7;6;11;11;10
ARG;BGR;2,447654837;9,388891664;0;0;43417,767;7177,991;20,18662907;17,73150801;13,467;6,993;1;0;1;1;0;1;0;9,7;1,4;14;6;25;25;39;31;6;11;11;10
ARG;BLR;2,205239704;9,458709935;0;0;43417,767;9489,616;20,18662907;17,84895043;13,467;5,949;1;0;1;0;0;0;0;9,7;0,9;14;5;25;5;39;10;6;11;0;0
ARG;BRA;9,476061735;7,43311497;0;0;43417,767;205962,112;20,18662907;21,31307972;13,467;8,757;1;1;1;1;0;0;1;9,7;4,8;14;11;25;83;39;94;6;11;23;31
ARG;CAN;6,137329245;9,101652549;0;0;43417,767;35848,61;20,18662907;21,1633305;13,467;43,316;1;1;1;1;0;0;0;9,7;0,4;14;2;25;1,5;39;3,5;6;11;3;13
ARG;CHE;6,53793654;9,324964111;0;0;43417,767;8282,396;20,18662907;20,32396657;13,467;80,99;1;1;1;1;0;0;0;9,7;2,3;14;6;25;10;39;16;6;11;0;0
ARG;CHN;9,378091458;9,867729123;0;0;43417,767;1371219,971;20,18662907;23,12702255;13,467;8,069;1;0;1;1;0;0;0;9,7;0,7;14;11;25;31,4;39;42,4;6;11;11;5
ARG;CYP;-2,741090055;9,416668534;0;0;43417,767;1160,985;20,18662907;16,78899426;13,467;16,848;1;1;1;1;0;1;0;9,7;12,5;14;6;25;8;39;14;6;11;11;10
ARG;CZE;5,062174293;9,378971474;0;0;43417,767;10546,059;20,18662907;19,03671118;13,467;17,557;1;1;1;1;0;1;0;9,7;6,7;14;8;25;15;39;23;6;11;11;10
ARG;DEU;8,048365541;9,351157497;0;0;43417,767;81686,607;20,18662907;21,93627761;13,467;41,177;1;1;1;1;0;1;0;9,7;2;14;9;25;10,5;39;19,5;6;11;11;10
ARG;DNK;5,148312334;9,400089774;0;0;43417,767;5683,483;20,18662907;19,52364296;13,467;53,015;1;1;1;1;0;1;0;9,7;0,2;14;4;25;3;39;7;6;11;11;10
ARG;ESP;6,866254307;9,216903786;1;1;43417,767;46447,697;20,18662907;20,89969966;13,467;25,684;1;1;1;1;0;1;0;9,7;5,2;14;7;25;14;39;21;6;11;11;10
ARG;EST;4,213041758;9,466976338;0;0;43417,767;1315,407;20,18662907;16,92726749;13,467;17,075;1;0;1;1;0;1;0;9,7;1,3;14;3;25;3,5;39;6,5;6;11;11;10
ARG;FIN;4,950976262;9,470494272;0;0;43417,767;5479,531;20,18662907;19,26380572;13,467;42,405;1;1;1;1;0;1;0;9,7;1;14;3;25;14;39;17;6;11;11;10
ARG;FRA;7,281477789;9,312197438;0;0;43417,767;66624,069;20,18662907;21,61262183;13,467;36,527;1;1;1;1;0;1;0;9,7;0,8;14;5;25;4;39;9;6;11;11;10
ARG;GBR;6,327823147;9,318968473;0;0;43417,767;65128,86;20,18662907;21,77446876;13,467;43,93;1;1;1;1;0;1;0;9,7;0,1;14;4;25;4,5;39;8,5;6;11;11;10
ARG;GRC;2,637716002;9,368318603;0;0;43417,767;10820,883;20,18662907;19,08779287;13,467;18,008;1;1;1;1;0;1;0;9,7;2,2;14;5;25;13;39;18;6;11;11;10
ARG;HRV;1,264898181;9,363584412;0;0;43417,767;4203,604;20,18662907;17,70070355;13,467;11,58;1;0;1;1;0;1;0;9,7;3,4;14;8;25;12;39;20;6;11;11;10
ARG;HUN;5,017002421;9,389078934;0;0;43417,767;9843,028;20,18662907;18,61719448;13,467;12,366;1;1;1;1;0;1;0;9,7;7,5;14;6;25;7;39;13;6;11;11;10
ARG;IND;6,586958912;9,668898564;0;0;43417,767;1309053,955;20,18662907;21,47078333;13,467;1,613;1;1;1;1;0;0;1;9,7;14,3;14;13;25;28;39;41;6;11;30;38
ARG;IRL;5,325931191;9,306828948;0;0;43417,767;4676,835;20,18662907;19,46348427;13,467;60,664;1;1;1;1;0;1;0;9,7;0,2;14;4;25;6;39;10;6;11;11;10
ARG;LTU;2,149406874;9,451816922;0;0;43417,767;2904,91;20,18662907;17,53884032;13,467;14,252;1;0;1;1;0;1;0;9,7;0,6;14;4;25;5,5;39;9,5;6;11;11;10
ARG;LUX;2,328175644;9,335484338;0;0;43417,767;569,604;20,18662907;17,87678498;13,467;101,91;1;1;1;1;0;1;0;9,7;2;14;5;25;16,5;39;21,5;6;11;11;10
ARG;LVA;1,412335576;9,455161889;0;0;43417,767;1977,527;20,18662907;17,11231128;13,467;13,667;1;0;1;1;0;1;0;9,7;1,5;14;4;25;5,5;39;9,5;6;11;11;10
ARG;MLT;0,782651448;9,297152546;0;0;43417,767;431,874;20,18662907;16,14639217;13,467;23,819;1;1;1;1;0;1;0;9,7;14,1;14;10;25;28;39;38;6;11;11;10
ARG;NLD;6,122554402;9,347206735;0;0;43417,767;16939,922;20,18662907;20,43600775;13,467;44,293;1;1;1;1;0;1;0;9,7;4,6;14;4;25;4;39;8;6;11;11;10
ARG;NZL;3,065670285;9,182877907;0;0;43417,767;4595,7;20,18662907;18,98351662;13,467;38,202;1;1;1;1;0;0;0;9,7;0,3;14;1;25;0,5;39;1,5;6;11;0;0
ARG;PHL;4,53387294;9,787047215;0;0;43417,767;101716,362;20,18662907;19,49491183;13,467;2,878;1;1;1;1;0;0;0;9,7;16,1;14;16;25;29;39;45;6;11;0;1
ARG;POL;5,210289022;9,421539512;0;0;43417,767;37986,412;20,18662907;19,98373287;13,467;12,566;1;1;1;1;0;1;0;9,7;12,2;14;4;25;37;39;41;6;11;11;10
ARG;PRT;5,162309848;9,171792249;0;0;43417,767;10358,076;20,18662907;19,10922884;13,467;19,22;1;1;1;1;0;1;0;9,7;2,2;14;5;25;4,5;39;9,5;6;11;11;10
ARG;RUS;6,520272473;9,510841552;0;0;43417,767;144096,863;20,18662907;21,03505396;13,467;9,479;1;0;1;1;0;0;0;9,7;1,1;14;4;25;10,5;39;14,5;6;11;1;5
ARG;SVK;3,830473869;9,382603428;0;0;43417,767;5423,801;20,18662907;18,2844897;13,467;16,09;1;1;1;1;0;1;0;9,7;1,5;14;6;25;11,5;39;17,5;6;11;11;10
ARG;SVN;2,800267056;9,357099257;0;0;43417,767;2063,531;20,18662907;17,57150448;13,467;20,73;1;1;1;1;0;1;0;9,7;0;14;4;25;7,5;39;11,5;6;11;11;10
ARG;SWE;5,482539009;9,440263212;0;0;43417,767;9799,186;20,18662907;20,02147006;13,467;50,585;1;1;1;1;0;1;0;9,7;0,5;14;3;25;7;39;10;6;11;11;10
